variant,test_accuracy,macro_precision,macro_recall,macro_f1,best_val_accuracy,epochs_ran,train_time_sec,conv_blocks,dense_units,dropout_rate,use_augmentation,optimizer,learning_rate
no_augmentation,0.29411764705882354,0.40563226247436773,0.29642857142857143,0.26653836842188044,0.4117647111415863,12,68.52141070365906,3,128,0.5,False,adam,0.001
baseline,0.22058823529411764,0.23492935635792778,0.21785714285714283,0.20433057280883365,0.3382352888584137,12,41.08129262924194,3,128,0.5,True,adam,0.001
no_dropout,0.19117647058823528,0.29307359307359304,0.18928571428571428,0.17187338501291988,0.3970588147640228,12,67.50908923149109,3,128,0.0,True,adam,0.001
shallow_cnn,0.14705882352941177,0.04883116883116883,0.14285714285714285,0.07252017085904129,0.3235294222831726,11,48.03780198097229,2,128,0.5,True,adam,0.001
sgd_optimizer,0.14705882352941177,0.03809523809523809,0.14285714285714285,0.058456486042692934,0.29411765933036804,12,67.14733839035034,3,128,0.5,True,sgd,0.01
